year,city,type,sub_type,number
1998,"St. John's","Total, all violations",Actual incidents,13538
1999,"St. John's","Total, all violations",Actual incidents,11407
2000,"St. John's","Total, all violations",Actual incidents,12662
2001,"St. John's","Total, all violations",Actual incidents,12227
2002,"St. John's","Total, all violations",Actual incidents,13031
2003,"St. John's","Total, all violations",Actual incidents,12228
2004,"St. John's","Total, all violations",Actual incidents,12851
2005,"St. John's","Total, all violations",Actual incidents,12537
2006,"St. John's","Total, all violations",Actual incidents,12960
2007,"St. John's","Total, all violations",Actual incidents,14580
2008,"St. John's","Total, all violations",Actual incidents,14225
2009,"St. John's","Total, all violations",Actual incidents,15475
2010,"St. John's","Total, all violations",Actual incidents,16624
2011,"St. John's","Total, all violations",Actual incidents,15984
1998,"St. John's","Total, all violations","Rate per 100,000 population",7840.62
1999,"St. John's","Total, all violations","Rate per 100,000 population",6596.12
2000,"St. John's","Total, all violations","Rate per 100,000 population",7294.28
2001,"St. John's","Total, all violations","Rate per 100,000 population",7030
2002,"St. John's","Total, all violations","Rate per 100,000 population",7428.25
2003,"St. John's","Total, all violations","Rate per 100,000 population",6903.21
2004,"St. John's","Total, all violations","Rate per 100,000 population",7165.88
2005,"St. John's","Total, all violations","Rate per 100,000 population",6957.62
2006,"St. John's","Total, all violations","Rate per 100,000 population",7140.42
2007,"St. John's","Total, all violations","Rate per 100,000 population",8032.75
2008,"St. John's","Total, all violations","Rate per 100,000 population",7779.94
2009,"St. John's","Total, all violations","Rate per 100,000 population",8372.6
2010,"St. John's","Total, all violations","Rate per 100,000 population",8877.69
2011,"St. John's","Total, all violations","Rate per 100,000 population",8472.7
1998,"St. John's",Total violent Criminal Code violations,Actual incidents,2212
1999,"St. John's",Total violent Criminal Code violations,Actual incidents,2223
2000,"St. John's",Total violent Criminal Code violations,Actual incidents,2188
2001,"St. John's",Total violent Criminal Code violations,Actual incidents,2243
2002,"St. John's",Total violent Criminal Code violations,Actual incidents,2199
2003,"St. John's",Total violent Criminal Code violations,Actual incidents,2060
2004,"St. John's",Total violent Criminal Code violations,Actual incidents,2131
2005,"St. John's",Total violent Criminal Code violations,Actual incidents,2205
2006,"St. John's",Total violent Criminal Code violations,Actual incidents,2144
2007,"St. John's",Total violent Criminal Code violations,Actual incidents,2811
2008,"St. John's",Total violent Criminal Code violations,Actual incidents,2965
2009,"St. John's",Total violent Criminal Code violations,Actual incidents,2943
