epid,country,first_name,last_name,birthdate,gender,eugroup,party
119436,HR,Ivana,MALETIĆ,1973-10-12,F,PPE,Hrvatska demokratska zajednica
96798,GB,John,BUFTON,1962-08-31,M,EFD,United Kingdom Independence Party
96717,CZ,Robert,DUŠEK,1967-03-14,M,S&D,Česká strana sociálně demokratická
97058,BE,Guy,VERHOFSTADT,1953-04-11,M,ALDE,Open Vlaamse Liberalen en Democraten
96897,GB,John Stuart,AGNEW,1949-08-30,M,EFD,United Kingdom Independence Party
96976,PT,Luís Paulo,ALVES,1961-09-19,M,S&D,Partido Socialista
96808,ES,Pablo,ARIAS ECHEVERRÍA,1970-06-30,M,PPE,Partido Popular
5956,PT,Regina,BASTOS,1960-11-04,F,PPE,Partido Social Democrata
96955,GB,Catherine,BEARDER,1949-01-14,F,ALDE,Liberal Democrats Party
96738,FR,Sandrine,BÉLIER,1973-09-02,F,Verts/ALE,Europe Écologie
96705,DK,Bendt,BENDTSEN,1954-03-25,M,PPE,Det Konservative Folkeparti
96922,ES,Izaskun,BILBAO BARANDICA,1961-03-27,F,ALDE,Partido Nacionalista Vasco
97198,IT,Mara,BIZZOTTO,1972-06-03,F,EFD,Lega Nord
96681,LT,Vilija,BLINKEVIČIŪTĖ,1960-03-03,F,S&D,Lietuvos socialdemokratų partija
96799,PL,Piotr,BORYS,1976-01-11,M,PPE,Platforma Obywatelska
96719,CZ,Andrea,ČEŠKOVÁ,1971-10-18,F,ECR,Občanská demokratická strana
96603,IE,Nessa,CHILDERS,1956-10-09,F,Array,Labour Party
28493,GB,Derek Roland,CLARK,1933-10-10,M,EFD,United Kingdom Independence Party
96915,IT,Sergio Gaetano,COFFERATI,1948-01-30,M,S&D,Partito Democratico
96975,PT,António Fernando,CORREIA DE CAMPOS,1942-12-14,M,S&D,Parti socialiste
96917,IT,Silvia,COSTA,1949-06-12,F,S&D,Partito Democratico
96951,GB,Diane,DODDS,1958-08-16,F,Array,Democratic Unionist Party (Northern Ireland)
96888,IT,Leonardo,DOMENICI,1955-07-12,M,S&D,Partito Democratico
96692,LT,Leonidas,DONSKIS,1962-08-13,M,ALDE,Lietuvos Respublikos liberalų sąjūdis
96787,IT,Herbert,DORFMANN,1969-03-04,M,PPE,Südtiroler Volkspartei (Partito popolare sudtirolese)
39769,AT,Martin,EHRENHAUSER,1978-09-18,M,Array,-
96682,FI,Sari,ESSAYAH,1967-02-21,F,PPE,Suomen kristillisdemokraatit
96811,ES,Rosa,ESTARÀS FERRAGUT,1965-10-21,F,PPE,Partido Popular
96977,PT,Diogo,FEIO,1970-10-06,M,PPE,Partido Popular
96899,PT,José Manuel,FERNANDES,1967-07-26,M,PPE,Partido Social Democrata
96833,DE,Jens,GEIER,1961-06-22,M,S&D,Sozialdemokratische Partei Deutschlands
96730,DE,Sven,GIEGOLD,1969-11-17,M,Verts/ALE,Bündnis 90/Die Grünen
97004,LV,Ivars,GODMANIS,1951-11-27,M,ALDE,Latvijas Pirmā Partija/Latvijas Ceļš
97137,FR,Sylvie,GOULARD,1964-12-06,F,ALDE,Mouvement Démocrate
96753,PL,Jolanta Emilia,HIBNER,1951-01-26,F,PPE,Platforma Obywatelska
96950,FR,Liem,HOANG NGOC,1964-12-11,M,S&D,Parti socialiste
34235,BG,Stanimir,ILCHEV,1953-07-31,M,ALDE,National Movement for Stability and Progress
105192,ES,María,IRIGOYEN PÉREZ,1952-10-01,F,S&D,Partido Socialista Obrero Español
28424,EE,Tunne,KELAM,1936-07-10,M,PPE,Erakond Isamaa ja Res Publica Liit
96668,IE,Seán,KELLY,1952-04-26,M,PPE,Fine Gael Party
96769,DE,Jürgen,KLUTE,1953-10-13,M,GUE/NGL,DIE LINKE.
102887,HU,Béla,KOVÁCS,1960-02-25,M,Array,Jobbik Magyarországért Mozgalom
96651,SK,Eduard,KUKAN,1939-12-26,M,PPE,Slovenská demokratická a kresťanská únia - Demokratická strana
96765,ES,Verónica,LOPE FONTAGNÉ,1952-02-01,F,PPE,Partido Popular
96854,DE,Sabine,LÖSING,1955-11-30,F,GUE/NGL,DIE LINKE.
96675,SE,Isabella,LÖVIN,1963-02-03,F,Verts/ALE,Miljöpartiet de gröna
96673,SE,Olle,LUDVIGSSON,1948-10-28,M,S&D,Arbetarepartiet- Socialdemokraterna
96792,PL,Bogdan Kazimierz,MARCINKIEWICZ,1966-03-21,M,PPE,Platforma Obywatelska
96652,SK,Alajos,MÉSZÁROS,1952-06-18,M,PPE,Strana mad'arskej komunity- Magyar Közösség Pártja
28255,AT,Andreas,MÖLZER,1952-12-02,M,Array,Freiheitliche Partei Österreichs
96695,LT,Radvilė,MORKŪNAITĖ-MIKULĖNIENĖ,1984-01-02,F,PPE,Tėvynės sąjunga - Lietuvos krikščionys demokratai
96760,IT,Tiziano,MOTTI,1966-02-07,M,PPE,Unione dei Democratici cristiani e dei Democratici di Centro
96701,ES,María,MUÑIZ DE URQUIZA,1962-08-05,F,S&D,Partido Socialista Obrero Español
96844,DE,Norbert,NEUSER,1949-03-22,M,S&D,Sozialdemokratische Partei Deutschlands
96861,BG,Nadezhda,NEYNSKY,1962-08-09,F,PPE,Blue Coalition
111024,SE,Jens,NILSSON,1948-09-25,M,S&D,Arbetarepartiet- Socialdemokraterna
96805,GB,Paul,NUTTALL,1976-11-30,M,EFD,United Kingdom Independence Party
40599,FI,Sirpa,PIETIKÄINEN,1959-04-19,F,PPE,Kansallinen Kokoomus
96715,CZ,Pavel,POC,1964-05-26,M,S&D,Česká strana sociálně demokratická
96931,FR,Maurice,PONGA,1947-06-05,M,PPE,Union pour un Mouvement Populaire
96801,PL,Tomasz Piotr,PORĘBA,1973-03-31,M,ECR,Prawo i Sprawiedliwość
96838,RO,Cristian Dan,PREDA,1966-10-26,M,PPE,-
107386,IE,Phil,PRENDERGAST,1959-09-20,F,S&D,Labour Party
108080,FR,Franck,PROUST,1963-05-02,M,PPE,Union pour un Mouvement Populaire
96903,PT,Paulo,RANGEL,1968-02-18,M,PPE,Partido Social Democrata
96686,FI,Mitro,REPO,1958-09-03,M,S&D,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti
97022,FR,Robert,ROCHEFORT,1955-09-19,M,ALDE,Mouvement Démocrate
96746,FR,Marie-Thérèse,SANCHEZ-SCHMID,1957-11-15,F,PPE,Union pour un Mouvement Populaire
96676,SE,Christian,ENGSTRÖM,1960-02-09,M,Verts/ALE,Piratpartiet
112611,FI,Petri,SARVAMAA,1960-09-15,M,PPE,Kansallinen Kokoomus
30482,FR,Younous,OMARJEE,1969-09-30,M,GUE/NGL,"Liste ""Alliance des Outre-Mers"""
111068,FR,Jean,ROATTA,1941-12-13,M,PPE,Union pour un Mouvement Populaire
96992,IT,Magdi Cristiano,ALLAM,1952-04-22,M,EFD,"""Io amo l'Italia"""
111496,ES,María Auxiliadora,CORREA ZAMORA,1972-05-24,F,PPE,Partido Popular
112788,DE,Birgit,COLLIN-LANGEN,1956-09-04,F,PPE,Christlich Demokratische Union Deutschlands
96744,FR,José,BOVÉ,1953-06-11,M,Verts/ALE,Europe Écologie
114279,FR,Isabelle,THOMAS,1961-11-26,F,S&D,Parti socialiste
113890,FR,Karim,ZÉRIBI,1966-09-25,M,Verts/ALE,Europe Écologie
113597,RO,Minodora,CLIVETI,1955-10-24,F,S&D,Partidul Social Democrat
113883,HU,Erik,BÁNKI,1970-05-26,M,PPE,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt
113892,FR,Eric,ANDRIEU,1960-04-14,M,S&D,Parti socialiste
96947,FR,Nora,BERRA,1963-01-21,F,PPE,Union pour un Mouvement Populaire
113891,FR,Jean-Jacob,BICEP,1965-06-23,M,Verts/ALE,Europe Écologie
