Project,Start Date,End Date,Cost
Project 1,6/10/2013,5/31/2014,5
Project 2,6/13/2013,2/14/2014,23
Project 3,6/16/2013,6/15/2014,8
Project 4,6/20/2013,3/31/2014,9
Project 5,6/21/2013,3/20/2014,1
Project 6,6/21/2013,3/31/2014,20
Project 7,7/1/2013,1/1/2014,3
Project 8,7/1/2013,3/30/2014,5
Project 9,7/1/2013,6/30/2014,3
Project 10,7/1/2013,12/31/2014,2
Project 11,7/15/2013,1/15/2014,1
Project 12,7/16/2013,3/31/2014,8
Project 13,8/15/2013,2/15/2014,2
Project 14,8/27/2013,3/31/2014,22
Project 15,9/1/2013,10/31/2014,18
Project 16,9/2/2013,2/28/2014,15
Project 17,9/2/2013,12/31/2014,3
Project 18,9/7/2013,12/31/2014,1
Project 19,9/10/2013,3/9/2014,2
Project 20,9/13/2013,3/31/2014,9
Project 21,10/1/2013,3/31/2014,19
