City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Raised
Mountain View,1/1/2011,6.12834E+11,Database Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,First Round,CA,San Francisco Bay Area,1,1,2
Mountain View,1/2/2011,6.13065E+11,Online Communities,Consumer Services,Consumer Information Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Startup,Seed Round,CA,San Francisco Bay Area,1,1,0.41
Sacramento,1/3/2011,6.1226E+11,Business Support Services: Other,Business and Financial Services,Business Support Services,"Sacramento--Arden-Arcade--Roseville, CA",Northern California,Product In Beta Test,First Round,CA,,1,1,4.5
Kennett Square,1/3/2011,1.10548E+11,IT Consulting,Business and Financial Services,Business Support Services,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Mid-Atlantic,Generating Revenue,Later Stage,PA,,1,1,3.88
New York,1/3/2011,6.05132E+11,Incubators/Business Development,Business and Financial Services,Business Support Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,Later Stage,NY,New York Metro,1,1,5
Cambridge,1/3/2011,6.11277E+11,Biopharmaceuticals: TBA,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Startup,Seed Round,MA,Boston Metro,1,1,9.93
Charlotte,1/5/2011,6.11265E+11,Automobiles,Consumer Goods,Vehicles and Parts,"Charlotte-Gastonia-Concord, NC-SC",South East,Generating Revenue,Later Stage,NC,,1,1,
Brooklyn,1/5/2011,6.15066E+11,General Media/Content,Consumer Services,Media and Content,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product In Beta Test,First Round,NY,New York Metro,1,1,1.5
Highland Heights,1/5/2011,3.56941E+11,Biofuels/Biomass,Energy and Utilities,Renewable Energy,"Cleveland-Elyria-Mentor, OH",Midwest East,Product Development,First Round,OH,,1,1,0.15
Marlborough,1/5/2011,98499752679,Biofuels/Biomass,Energy and Utilities,Renewable Energy,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Later Stage,MA,Boston Metro,1,1,22
Warren,1/5/2011,62881753025,Fiberoptic Equipment,Information Technology,Communications and Networking,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Second Round,NJ,New York Metro,1,1,2
New York,1/7/2011,6.1379E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Product Development,First Round,NY,New York Metro,1,1,10.09
Richardson,1/7/2011,6.13056E+11,Diagnostic Imaging Equipment,Healthcare,Medical Devices and Equipment,"Dallas-Fort Worth-Arlington, TX",South Central,Generating Revenue,First Round,TX,Dallas-Fort Worth,1,1,2.84
Lyndhurst,1/7/2011,1.82337E+11,Medical Software and Information Services: Other,Healthcare,Medical Software and Information Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,NJ,New York Metro,1,1,9
Eden Prairie,1/7/2011,62097752675,Therapeutic Devices (Minimally Invasive/Noninvasive),Healthcare,Medical Devices and Equipment,"Minneapolis-St. Paul-Bloomington, MN-WI",Midwest Central,Generating Revenue,Later Stage,MN,,1,1,8
New York,1/7/2011,6.05954E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Clinical Trials - Phase 1,Second Round,NY,New York Metro,1,1,25.78
Portland,1/7/2011,88644753258,Wired Communications Equipment,Information Technology,Communications and Networking,"Portland-Vancouver-Beaverton, OR-WA",Pacific Northwest,Generating Revenue,Later Stage,OR,,1,1,0.2
San Francisco,1/10/2011,6.15063E+11,Entertainment,Consumer Services,Consumer Information Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Seed Round,CA,San Francisco Bay Area,1,1,0.65
Cambridge,1/10/2011,1.1255E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,Corporate,MA,Boston Metro,1,1,20
Cupertino,1/10/2011,86430752808,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,45
Austin,1/10/2011,60094757877,Computer Systems,Information Technology,Electronics and Computer Hardware,"Austin-Round Rock, TX",South Central,Generating Revenue,Later Stage,TX,Austin Metro,1,1,0.1
Palo Alto,1/10/2011,6.12604E+11,Recreational/Home Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Second Round,CA,San Francisco Bay Area,1,1,1.45
Denver,1/11/2011,76524753029,Business Support Services: Other,Business and Financial Services,Business Support Services,"Denver-Aurora-Broomfield, CO",Mountain,Generating Revenue,Later Stage,CO,,1,1,10
Mountain View,1/11/2011,91354753388,Lending,Business and Financial Services,Financial Institutions and Services,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,20
Culver City,1/11/2011,63662753558,Search Portals,Consumer Services,Consumer Information Services,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Generating Revenue,Second Round,CA,Los Angeles Metro,1,1,0.2
San Diego,1/11/2011,6.04917E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, CA",Southern California,Startup,Second Round,CA,San Diego Metro,1,1,14.13
San Francisco,1/11/2011,63251753390,Commercial Fishing/Aquaculture,Industrial Goods and Materials,Agriculture and Forestry,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,1.2
Beverly Hills,1/11/2011,1.1094E+11,Consumer Electronics,Information Technology,Electronics and Computer Hardware,"Los Angeles-Long Beach-Santa Ana, CA",Southern California,Product Development,Second Round,CA,Los Angeles Metro,1,1,3.5
Mountain View,1/11/2011,6.12277E+11,Communications Software,Information Technology,Software,"San Jose-Sunnyvale-Santa Clara, CA",Northern California,Product Development,Seed Round,CA,San Francisco Bay Area,1,1,
Rochester,1/12/2011,6.07088E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"Rochester, MN",Midwest Central,Generating Revenue,Individual,MN,,1,1,5
New York,1/12/2011,1.1316E+11,Outpatient Facilities,Healthcare,Healthcare Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,NY,New York Metro,1,1,44
New York,1/12/2011,64831757688,Business Applications Software,Information Technology,Software,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,NY,New York Metro,1,1,5.5
San Francisco,1/12/2011,6.13245E+11,To Be Assigned,To Be Assigned,To Be Assigned,"San Francisco-Oakland-Fremont, CA",Northern California,Startup,Seed Round,CA,San Francisco Bay Area,1,1,
Cambridge,1/13/2011,3.54544E+11,Advertising/Marketing,Business and Financial Services,Business Support Services,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,MA,Boston Metro,1,1,5
San Francisco,1/13/2011,6.09377E+11,Travel Arrangement/Tourism,Consumer Services,Travel and Leisure,"San Francisco-Oakland-Fremont, CA",Northern California,Profitable,Second Round,CA,San Francisco Bay Area,1,1,4.2
Boston,1/13/2011,6.1491E+11,Medical Imaging Software,Healthcare,Medical Software and Information Services,"Boston-Cambridge-Quincy, MA-NH",New England,Product Development,First Round,MA,Boston Metro,1,1,0.25
San Diego,1/13/2011,6.12014E+11,Biotechnology Therapeutics,Healthcare,Biopharmaceuticals,"San Diego-Carlsbad-San Marcos, CA",Southern California,Product Development,First Round,CA,San Diego Metro,1,1,3
Breinigsville,1/13/2011,65609753378,Fiberoptic Equipment,Information Technology,Communications and Networking,"Allentown-Bethlehem-Easton, PA-NJ",Mid-Atlantic,Generating Revenue,Later Stage,PA,,1,1,50
San Francisco,1/14/2011,68953753511,Procurement/Supply Chain,Business and Financial Services,Business Support Services,"San Francisco-Oakland-Fremont, CA",Northern California,Generating Revenue,Later Stage,CA,San Francisco Bay Area,1,1,4.25
New York,1/14/2011,90265753207,Personal/Commercial Banking,Business and Financial Services,Financial Institutions and Services,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Second Round,NY,New York Metro,1,1,2.27
Houston,1/14/2011,2.30142E+11,Payment/Transactional Processing,Business and Financial Services,Financial Institutions and Services,"Houston-Baytown-Sugar Land, TX",South Central,Profitable,Second Round,TX,,1,1,6
Andover,1/14/2011,3.59283E+11,Therapeutic Devices (Invasive),Healthcare,Medical Devices and Equipment,"Boston-Cambridge-Quincy, MA-NH",New England,Generating Revenue,Second Round,MA,Boston Metro,1,1,5.86
Frisco,1/14/2011,72331753524,Wired Communications Equipment,Information Technology,Communications and Networking,"Dallas-Fort Worth-Arlington, TX",South Central,Generating Revenue,ACQ Financing,TX,Dallas-Fort Worth,1,1,10.79
Boulder,1/14/2011,6.15123E+11,Fiberoptic Equipment,Information Technology,Communications and Networking,"Boulder, CO",Mountain,Product Development,First Round,CO,,1,1,
Bridgewater,1/14/2011,86554753206,Fiberoptic Equipment,Information Technology,Communications and Networking,"New York-Northern New Jersey-Long Island, NY-NJ-PA",Mid-Atlantic,Generating Revenue,Later Stage,NJ,New York Metro,1,1,5.5
